Rank,Player,Team,Position,Points,Games,Avg
57,Chase Claypool,PIT,WR,17.8,1,17.8
59,Noah Fant,DEN,TE,17.7,1,17.7
60,Lamar Jackson,BAL,QB,17.6,1,17.6
61,CeeDee Lamb,DAL,WR,17.5,1,17.5
62,Odell Beckham Jr.,CLE,WR,17.4,1,17.4
63,Matthew Stafford,DET,QB,17.2,1,17.2
64,Dalvin Cook,MIN,RB,17.1,1,17.1
65,Younghoe Koo,ATL,K,17,1,17
66,Keenan Allen,LAC,WR,16.6,1,16.6
66,Russell Gage,ATL,WR,16.6,1,16.6
68,Melvin Gordon III,DEN,RB,16.4,1,16.4
69,Baker Mayfield,CLE,QB,16.3,1,16.3
69,DeVante Parker,MIA,WR,16.3,1,16.3
71,Mo Alie-Cox,IND,TE,16.1,1,16.1
72,Amari Cooper,DAL,WR,16,1,16
72,Justin Tucker,BAL,K,16,1,16
74,Adam Humphries,TEN,WR,15.8,1,15.8
75,Deshaun Watson,HOU,QB,15.7,1,15.7
75,Mark Ingram II,BAL,RB,15.7,1,15.7
77,Dion Lewis,NYG,RB,15.6,1,15.6
78,Drew Brees,NO,QB,15.5,1,15.5
78,Mike Davis,CAR,RB,15.5,1,15.5
80,Mitchell Trubisky,CHI,QB,15.2,1,15.2
80,N'Keal Harry,NE,WR,15.2,1,15.2
82,Rodrigo Blankenship,IND,K,15,1,15
82,Indianapolis Colts,IND,DST,15,1,15
82,Baltimore Ravens,BAL,DST,15,1,15
85,Isaiah Ford,MIA,WR,14.6,1,14.6
86,Brandin Cooks,HOU,WR,14.5,1,14.5
87,Carson Wentz,PHI,QB,14.4,1,14.4
88,Hunter Henry,LAC,TE,14.3,1,14.3
89,Myles Gaskin,MIA,RB,14.2,1,14.2
89,C.J. Uzomah,CIN,TE,14.2,1,14.2
91,Tampa Bay Buccaneers,TB,DST,14,1,14
92,David Moore,SEA,WR,13.8,1,13.8
93,Jerick McKinnon,SF,RB,13.7,1,13.7
94,Tre'Quan Smith,NO,WR,13.6,1,13.6
95,Josh Jacobs,LV,RB,13.5,1,13.5
95,Chris Hogan,NYJ,WR,13.5,1,13.5
97,Joshua Kelley,LAC,RB,13.3,1,13.3
98,Damiere Byrd,NE,WR,13.2,1,13.2
98,Jimmy Garoppolo,SF,QB,13.2,1,13.2
100,Mike Thomas,CIN,WR,13.1,1,13.1
101,Pittsburgh Steelers,PIT,DST,13,1,13
101,Clyde Edwards-Helaire,KC,RB,13,1,13
101,Zane Gonzalez,ARI,K,13,1,13
101,Randy Bullock,CIN,K,13,1,13
101,Cooper Kupp,LAR,WR,13,1,13
101,Harrison Butker,KC,K,13,1,13
107,Corey Davis,TEN,WR,12.6,1,12.6
107,Joe Mixon,CIN,RB,12.6,1,12.6
107,Darnell Mooney,CHI,WR,12.6,1,12.6
107,Tyler Eifert,JAC,TE,12.6,1,12.6
111,Evan Engram,NYG,TE,12.5,1,12.5
111,Jordan Akins,HOU,TE,12.5,1,12.5
113,D.J. Chark Jr.,JAC,WR,12.4,1,12.4
113,DeSean Jackson,PHI,WR,12.4,1,12.4
115,Marvin Jones Jr.,DET,WR,12.3,1,12.3
116,D'Andre Swift,DET,RB,12.2,1,12.2
116,Antonio Gibson,WAS,RB,12.2,1,12.2
118,Daniel Carlson,LV,K,12,1,12
118,Stephen Gostkowski,TEN,K,12,1,12
118,Green Bay Packers,GB,DST,12,1,12
118,Larry Fitzgerald,ARI,WR,12,1,12
118,Cole Beasley,BUF,WR,12,1,12
118,Ka'imi Fairbairn,HOU,K,12,1,12
118,Chicago Bears,CHI,DST,12,1,12
125,Sam Darnold,NYJ,QB,11.9,1,11.9
125,Philip Rivers,IND,QB,11.9,1,11.9
127,JuJu Smith-Schuster,PIT,WR,11.8,1,11.8
128,Chris Thompson,JAC,RB,11.7,1,11.7
128,Dwayne Haskins,WAS,QB,11.7,1,11.7
130,Drew Sample,CIN,TE,11.5,1,11.5
130,Kenyan Drake,ARI,RB,11.5,1,11.5
132,Robert Woods,LAR,WR,11.3,1,11.3
133,Mason Crosby,GB,K,11,1,11
133,Jason Sanders,MIA,K,11,1,11
133,Greg Zuerlein,DAL,K,11,1,11
136,Zach Pascal,IND,WR,10.9,1,10.9
136,Randall Cobb,HOU,WR,10.9,1,10.9
138,Teddy Bridgewater,CAR,QB,10.7,1,10.7
138,Ronald Jones II,TB,RB,10.7,1,10.7
138,Kendrick Bourne,SF,WR,10.7,1,10.7
141,Robert Tonyan,GB,TE,10.5,1,10.5
142,Darren Fells,HOU,TE,10.3,1,10.3
143,T.J. Hockenson,DET,TE,10.2,1,10.2
143,Laviska Shenault Jr.,JAC,WR,10.2,1,10.2
143,Jerry Jeudy,DEN,WR,10.2,1,10.2
146,Tom Brady,TB,QB,9.7,1,9.7
146,Golden Tate,NYG,WR,9.7,1,9.7
148,Devin Singletary,BUF,RB,9.6,1,9.6
148,Courtland Sutton,DEN,WR,9.6,1,9.6
150,Marvin Hall,DET,WR,9.4,1,9.4
150,Marquez Valdes-Scantling,GB,WR,9.4,1,9.4
152,Jared Cook,NO,TE,9.3,1,9.3
153,Kerryon Johnson,DET,RB,9.2,1,9.2
153,Marquise Brown,BAL,WR,9.2,1,9.2
153,Zach Ertz,PHI,TE,9.2,1,9.2
156,Freddie Swain,SEA,WR,9.1,1,9.1
157,New York Giants,NYG,DST,9,1,9
157,Michael Badgley,LAC,K,9,1,9
157,Arizona Cardinals,ARI,DST,9,1,9
160,Rex Burkhead,NE,RB,8.9,1,8.9
161,Chris Conley,JAC,WR,8.8,1,8.8
162,Daniel Jones,NYG,QB,8.7,1,8.7
162,KJ Hamler,DEN,WR,8.7,1,8.7
162,Andy Isabella,ARI,WR,8.7,1,8.7
165,Jalen Richard,LV,RB,8.6,1,8.6
166,Zay Jones,LV,WR,8.5,1,8.5
166,Anthony Firkser,TEN,TE,8.5,1,8.5
166,Alec Ingold,LV,RB,8.5,1,8.5
169,Van Jefferson,LAR,WR,8.4,1,8.4
169,Jalen Guyton,LAC,WR,8.4,1,8.4
169,Quintez Cephus,DET,WR,8.4,1,8.4
169,Derrick Henry,TEN,RB,8.4,1,8.4
173,Jamaal Williams,GB,RB,8.3,1,8.3
174,Jalen Reagor,PHI,WR,8.1,1,8.1
175,Christian Kirk,ARI,WR,8,1,8
175,James O'Shaughnessy,JAC,TE,8,1,8
175,Robbie Gould,SF,K,8,1,8
175,Sam Ficken,NYJ,K,8,1,8
175,Brandon McManus,DEN,K,8,1,8
180,Miles Boykin,BAL,WR,7.8,1,7.8
180,Michael Gallup,DAL,WR,7.8,1,7.8
182,Michael Pittman Jr.,IND,WR,7.7,1,7.7
183,Gabriel Davis,BUF,WR,7.6,1,7.6
183,Jarvis Landry,CLE,WR,7.6,1,7.6
185,Giovani Bernard,CIN,RB,7.5,1,7.5
185,Allen Lazard,GB,WR,7.5,1,7.5
187,Justin Jefferson,MIN,WR,7.4,1,7.4
188,Mecole Hardman,KC,WR,7.3,1,7.3
188,Boston Scott,PHI,RB,7.3,1,7.3
188,Gus Edwards,BAL,RB,7.3,1,7.3
188,Eric Ebron,PIT,TE,7.3,1,7.3
192,Patrick Ricard,BAL,RB,7.1,1,7.1
192,Reggie Gilliam,BUF,RB,7.1,1,7.1
192,J.K. Dobbins,BAL,RB,7.1,1,7.1
192,Jakob Johnson,NE,RB,7.1,1,7.1
192,LeSean McCoy,TB,RB,7.1,1,7.1
197,Jake Elliott,PHI,K,7,1,7
197,Sam Sloman,LAR,K,7,1,7
197,Ryan Succop,TB,K,7,1,7
197,Graham Gano,NYG,K,7,1,7
197,Los Angeles Rams,LAR,DST,7,1,7
197,Dallas Goedert,PHI,TE,7,1,7
197,David Johnson,HOU,RB,7,1,7
197,Tyler Bass,BUF,K,7,1,7
205,Josh Malone,NYJ,WR,6.8,1,6.8
205,Justin Watson,TB,WR,6.8,1,6.8
207,Isaiah McKenzie,BUF,WR,6.7,1,6.7
207,Hunter Renfrow,LV,WR,6.7,1,6.7
209,Davante Adams,GB,WR,6.6,1,6.6
209,Logan Thomas,WAS,TE,6.6,1,6.6
211,Tee Higgins,CIN,WR,6.5,1,6.5
212,Deonte Harris,NO,WR,6.4,1,6.4
212,Jordan Howard,MIA,RB,6.4,1,6.4
214,Allen Robinson II,CHI,WR,6.3,1,6.3
214,Steven Sims,WAS,WR,6.3,1,6.3
214,Frank Gore,NYJ,RB,6.3,1,6.3
214,Darius Slayton,NYG,WR,6.3,1,6.3
218,C.J. Board,NYG,WR,6.2,1,6.2
218,Bryan Edwards,LV,WR,6.2,1,6.2
220,Todd Gurley II,ATL,RB,6.1,1,6.1
220,Adam Thielen,MIN,WR,6.1,1,6.1
222,Josh Lambo,JAC,K,6,1,6
222,Nick Folk,NE,K,6,1,6
222,New England Patriots,NE,DST,6,1,6
222,Tevin Coleman,SF,RB,6,1,6
222,Chris Boswell,PIT,K,6,1,6
222,Wil Lutz,NO,K,6,1,6
228,KhaDarel Hodge,CLE,WR,5.9,1,5.9
228,A.J. Green,CIN,WR,5.9,1,5.9
228,Curtis Samuel,CAR,WR,5.9,1,5.9
231,T.Y. Hilton,IND,WR,5.8,1,5.8
231,Demarcus Robinson,KC,WR,5.8,1,5.8
233,Cam Batson,TEN,WR,5.7,1,5.7
233,Carlos Hyde,SEA,RB,5.7,1,5.7
235,Preston Williams,MIA,WR,5.6,1,5.6
236,Sterling Shepard,NYG,WR,5.5,1,5.5
237,Blake Bell,DAL,TE,5.4,1,5.4
238,Latavius Murray,NO,RB,5.3,1,5.3
238,J.D. McKissic,WAS,RB,5.3,1,5.3
238,Josh Reynolds,LAR,WR,5.3,1,5.3
238,Cordarrelle Patterson,CHI,WR,5.3,1,5.3
242,James Washington,PIT,WR,5.2,1,5.2
243,San Francisco 49ers,SF,DST,5,1,5
243,Jason Myers,SEA,K,5,1,5
243,Tennessee Titans,TEN,DST,5,1,5
243,Cairo Santos,CHI,K,5,1,5
243,Cody Parkey,CLE,K,5,1,5
243,Joey Slye,CAR,K,5,1,5
243,Denver Broncos,DEN,DST,5,1,5
243,Kansas City Chiefs,KC,DST,5,1,5
251,Willie Snead IV,BAL,WR,4.9,1,4.9
251,Matt Breida,MIA,RB,4.9,1,4.9
253,Noah Brown,DAL,WR,4.8,1,4.8
254,Malcolm Brown,LAR,RB,4.7,1,4.7
255,Dan Arnold,ARI,TE,4.6,1,4.6
256,Ty Montgomery,NO,RB,4.5,1,4.5
256,Brian Hill,ATL,RB,4.5,1,4.5
258,Julio Jones,ATL,WR,4.4,1,4.4
258,Tim Patrick,DEN,WR,4.4,1,4.4
260,Chase Edmonds,ARI,RB,4.3,1,4.3
261,Austin Hooper,CLE,TE,4.2,1,4.2
262,Adrian Peterson,DET,RB,4.1,1,4.1
262,Danny Amendola,DET,WR,4.1,1,4.1
262,Foster Moreau,LV,TE,4.1,1,4.1
262,Brandon Aiyuk,SF,WR,4.1,1,4.1
266,Houston Texans,HOU,DST,4,1,4
266,New York Jets,NYJ,DST,4,1,4
266,Washington Football Team,WAS,DST,4,1,4
266,Cleveland Browns,CLE,DST,4,1,4
266,New Orleans Saints,NO,DST,4,1,4
266,Jordan Wilkins,IND,RB,4,1,4
272,Mark Andrews,BAL,TE,3.9,1,3.9
272,Ryan Izzo,NE,TE,3.9,1,3.9
274,Dontrelle Inman,WAS,WR,3.7,1,3.7
274,Kalen Ballage,LAC,RB,3.7,1,3.7
274,Javon Wims,CHI,WR,3.7,1,3.7
274,Tarik Cohen,CHI,RB,3.7,1,3.7
274,Zack Moss,BUF,RB,3.7,1,3.7
279,Kenny Stills,HOU,WR,3.6,1,3.6
280,Mike Williams,LAC,WR,3.4,1,3.4
280,Olabisi Johnson,MIN,WR,3.4,1,3.4
282,Breshad Perriman,NYJ,WR,3.2,1,3.2
282,Scotty Miller,TB,WR,3.2,1,3.2
284,Atlanta Falcons,ATL,DST,3,1,3
284,Matt Prater,DET,K,3,1,3
284,Minnesota Vikings,MIN,DST,3,1,3
284,Seattle Seahawks,SEA,DST,3,1,3
284,Dan Bailey,MIN,K,3,1,3
284,Dustin Hopkins,WAS,K,3,1,3
284,Trent Taylor,SF,WR,3,1,3
284,Carolina Panthers,CAR,DST,3,1,3
292,Devin Duvernay,BAL,WR,2.9,1,2.9
292,Nelson Agholor,LV,WR,2.9,1,2.9
294,Emmanuel Sanders,NO,WR,2.8,1,2.8
294,Saquon Barkley,NYG,RB,2.8,1,2.8
294,Jimmy Graham,CHI,TE,2.8,1,2.8
297,Adam Trautman,NO,TE,2.7,1,2.7
298,Kyle Juszczyk,SF,RB,2.6,1,2.6
298,Josh Hill,NO,TE,2.6,1,2.6
298,Dawson Knox,BUF,TE,2.6,1,2.6
298,Alexander Mattison,MIN,RB,2.6,1,2.6
302,Alex Armah,CAR,RB,2.4,1,2.4
302,Harrison Bryant,CLE,TE,2.4,1,2.4
304,Cole Kmet,CHI,TE,2.2,1,2.2
304,Darrel Williams,KC,RB,2.2,1,2.2
306,Nick Boyle,BAL,TE,2.1,1,2.1
306,Darwin Thompson,KC,RB,2.1,1,2.1
306,Sammy Watkins,KC,WR,2.1,1,2.1
306,Travis Homer,SEA,RB,2.1,1,2.1
306,O.J. Howard,TB,TE,2.1,1,2.1
311,Las Vegas Raiders,LV,DST,2,1,2
311,Olamide Zaccheaus,ATL,WR,2,1,2
311,Buffalo Bills,BUF,DST,2,1,2
311,Royce Freeman,DEN,RB,2,1,2
311,Ito Smith,ATL,RB,2,1,2
311,Miami Dolphins,MIA,DST,2,1,2
317,Tony Pollard,DAL,RB,1.9,1,1.9
317,Kaden Smith,NYG,TE,1.9,1,1.9
317,Will Dissly,SEA,TE,1.9,1,1.9
317,Sony Michel,NE,RB,1.9,1,1.9
321,Chris Manhertz,CAR,TE,1.8,1,1.8
322,Lamical Perine,NYJ,RB,1.7,1,1.7
322,AJ Dillon,GB,RB,1.7,1,1.7
322,Jakobi Meyers,NE,WR,1.7,1,1.7
325,Ashton Dulin,IND,WR,1.6,1,1.6
325,Nick Mullens,SF,QB,1.6,1,1.6
327,Kirk Cousins,MIN,QB,1.5,1,1.5
327,Chris Herndon IV,NYJ,TE,1.5,1,1.5
327,Devontae Booker,LV,RB,1.5,1,1.5
327,Ross Dwelley,SF,TE,1.5,1,1.5
327,DaeSean Hamilton,DEN,WR,1.5,1,1.5
327,Greg Ward,PHI,WR,1.5,1,1.5
333,Henry Ruggs III,LV,WR,1.4,1,1.4
333,Adam Shaheen,MIA,TE,1.4,1,1.4
333,Marcedes Lewis,GB,TE,1.4,1,1.4
333,Nyheim Hines,IND,RB,1.4,1,1.4
333,Tyler Ervin,GB,RB,1.4,1,1.4
333,Jaylen Samuels,PIT,RB,1.4,1,1.4
339,Cam Akers,LAR,RB,1.3,1,1.3
339,Keith Smith,ATL,RB,1.3,1,1.3
339,Antonio Gandy-Golden,WAS,WR,1.3,1,1.3
339,Irv Smith Jr.,MIN,TE,1.3,1,1.3
339,Jason Witten,LV,TE,1.3,1,1.3
339,Vance McDonald,PIT,TE,1.3,1,1.3
345,Ryan Nall,CHI,RB,1.2,1,1.2
345,Jakeem Grant,MIA,WR,1.2,1,1.2
345,Marcus Baugh,FA,TE,1.2,1,1.2
348,Keke Coutee,HOU,WR,1.1,1,1.1
349,Andy Janovich,CLE,RB,1,1,1
349,Los Angeles Chargers,LAC,DST,1,1,1
351,Lynn Bowden Jr.,MIA,RB,0.9,1,0.9
351,Senorise Perry,TEN,RB,0.9,1,0.9
353,Joe Reed,LAC,WR,0.8,1,0.8
353,Taysom Hill,NO,QB,0.8,1,0.8
355,Parris Campbell,IND,WR,0.7,1,0.7
355,Jeremy McNichols,TEN,RB,0.7,1,0.7
357,C.J. Ham,MIN,RB,0.4,1,0.4
358,Jeff Wilson Jr.,SF,RB,0.3,1,0.3
359,Peyton Barber,WAS,RB,0.1,1,0.1
360,Beau Brinkley,TEN,TE,0,1,0
360,Colin Thompson,CAR,TE,0,1,0
360,C.J. Prosise,HOU,RB,0,1,0
360,Cullen Gillaspia,HOU,RB,0,1,0
360,Jalen Hurts,PHI,QB,0,1,0
360,Dare Ogunbowale,JAC,RB,0,1,0
360,Andy Dalton,DAL,QB,0,1,0
360,Dan Chisena,MIN,WR,0,1,0
360,K.J. Osborn,MIN,WR,0,1,0
360,Darius Bradwell,LAC,RB,0,1,0
360,LeVante Bellamy,DEN,RB,0,1,0
360,Ke'Shawn Vaughn,TB,RB,0,1,0
360,Elijhaa Penny,NYG,RB,0,1,0
360,Jordan Thomas,ARI,TE,0,1,0
360,James Proche,BAL,WR,0,1,0
360,Tanner Hudson,TB,TE,0,1,0
360,Daurice Fountain,IND,WR,0,1,0
360,Nick Westbrook-Ikhine,TEN,WR,0,1,0
360,Marquez Callaway,NO,WR,0,1,0
360,Cyril Grayson Jr.,TB,WR,0,1,0
360,Mohamed Sanu,FA,WR,0,1,0
360,Farrod Green,IND,TE,0,1,0
360,Sean McKeon,DAL,TE,0,1,0
360,Noah Togiai,IND,TE,0,1,0
360,Andrew Beck,DEN,TE,0,1,0
360,Trevon Wesco,NYJ,TE,0,1,0
360,K.J. Hill,LAC,WR,0,1,0
360,Luke Willson,SEA,TE,0,1,0
360,Clark Harris,CIN,TE,0,1,0
360,Greg Olsen,SEA,TE,0,1,0
360,Rob Gronkowski,TB,TE,0,1,0
360,Kyle Rudolph,MIN,TE,0,1,0
360,Luke Stocker,ATL,TE,0,1,0
360,Virgil Green,LAC,TE,0,1,0
360,Bruce Miller,JAC,TE,0,1,0
360,Derek Carrier,LV,TE,0,1,0
360,Levine Toilolo,NYG,TE,0,1,0
360,Ryan Griffin,NYJ,TE,0,1,0
360,D'Ernest Johnson,CLE,RB,0,1,0
360,Demetrius Harris,CHI,TE,0,1,0
360,Richard Rodgers,PHI,TE,0,1,0
360,Cameron Brate,TB,TE,0,1,0
360,Kyle Nelson,FA,TE,0,1,0
360,Jesse James,DET,TE,0,1,0
360,Tyler Kroft,BUF,TE,0,1,0
360,MyCole Pruitt,TEN,TE,0,1,0
360,Daniel Brown,NYJ,TE,0,1,0
360,Nick Vannett,DEN,TE,0,1,0
360,John Hightower,PHI,WR,0,1,0
360,J.P. Holtz,CHI,TE,0,1,0
360,Xavier Jones,LAR,RB,0,1,0
360,Khari Blasingame,TEN,RB,0,1,0
360,Jake Butt,DEN,TE,0,1,0
360,Jacksonville Jaguars,JAC,DST,0,1,0
360,Ty Long,LAC,K,0,1,0
360,John Lovett,GB,QB,0,1,0
360,Chris Streveler,ARI,QB,0,1,0
360,Taiwan Jones,BUF,RB,0,1,0
360,Anthony Sherman,KC,RB,0,1,0
360,Ameer Abdullah,MIN,RB,0,1,0
360,Michael Burton,NO,RB,0,1,0
360,Chandler Cox,MIA,RB,0,1,0
360,D.J. Foster,ARI,RB,0,1,0
360,Derek Watt,PIT,RB,0,1,0
360,Samaje Perine,CIN,RB,0,1,0
360,Corey Clement,PHI,RB,0,1,0
360,Josh Adams,NYJ,RB,0,1,0
360,Trenton Cannon,CAR,RB,0,1,0
360,Buddy Howell,HOU,RB,0,1,0
360,Mike Boone,MIN,RB,0,1,0
360,Patrick Laird,MIA,RB,0,1,0
360,Ty Johnson,NYJ,RB,0,1,0
360,Stephen Anderson,LAC,TE,0,1,0
360,Gerald Everett,LAR,TE,0,1,0
360,Jeremy Sprinkle,WAS,TE,0,1,0
360,Kalif Raymond,TEN,WR,0,1,0
360,Jaydon Mickens,TB,WR,0,1,0
360,John Ross,CIN,WR,0,1,0
360,Mack Hollins,MIA,WR,0,1,0
360,JoJo Natson,CLE,WR,0,1,0
360,Justin Hardee,NO,WR,0,1,0
360,Marcus Kemp,KC,WR,0,1,0
360,Brandon Zylstra,CAR,WR,0,1,0
360,Anthony Miller,CHI,WR,0,1,0
360,Cedrick Wilson,DAL,WR,0,1,0
360,Dante Pettis,SF,WR,0,1,0
360,Ray-Ray McCloud,PIT,WR,0,1,0
360,Will Fuller V,HOU,WR,0,1,0
360,Damion Ratley,FA,WR,0,1,0
360,Byron Pringle,KC,WR,0,1,0
360,Brandon Powell,ATL,WR,0,1,0
360,Christian Blake,ATL,WR,0,1,0
360,Trent Sherfield,ARI,WR,0,1,0
360,Cam Sims,WAS,WR,0,1,0
360,Malik Turner,DAL,WR,0,1,0
360,JJ Arcega-Whiteside,PHI,WR,0,1,0
360,Collin Johnson,JAC,WR,0,1,0
360,Quinton Bell,TB,WR,0,1,0
360,Malik Taylor,GB,WR,0,1,0
360,Nsimba Webster,LAR,WR,0,1,0
360,Alex Erickson,CIN,WR,0,1,0
360,Tajae Sharpe,MIN,WR,0,1,0
360,Devin Asiasi,NE,TE,0,1,0
360,Jacob Hollister,SEA,TE,0,1,0
360,Cethan Carter,CIN,TE,0,1,0
360,Darrell Daniels,ARI,TE,0,1,0
360,Johnny Mundt,LAR,TE,0,1,0
360,Ian Thomas,CAR,TE,0,1,0
360,Durham Smythe,MIA,TE,0,1,0
360,Tyler Conklin,MIN,TE,0,1,0
360,Nick Keizer,KC,TE,0,1,0
360,Jaeden Graham,ATL,TE,0,1,0
360,Stephen Carlson,CLE,TE,0,1,0
360,Jace Sternberger,GB,TE,0,1,0
360,Ben Ellefson,JAC,TE,0,1,0
360,Rashard Higgins,CLE,WR,0,1,0
360,Gabe Nabers,LAC,TE,0,1,0
360,Matthew Slater,NE,WR,0,1,0
360,Andre Roberts,BUF,WR,0,1,0
360,Bennie Fowler III,NO,WR,0,1,0
360,Diontae Spencer,DEN,WR,0,1,0
360,Pharoh Cooper,CAR,WR,0,1,0
360,Charlie Woerner,SF,TE,0,1,0
360,Seth Roberts,CAR,WR,0,1,0
360,DeAndre Carter,HOU,WR,0,1,0
485,Tim Boyle,GB,QB,-0.1,1,-0.1
485,J.J. Taylor,NE,RB,-0.1,1,-0.1
487,Benny Snell Jr.,PIT,RB,-0.9,1,-0.9
488,Philadelphia Eagles,PHI,DST,-1,1,-1
489,Drew Lock,DEN,QB,-1.2,1,-1.2
490,Cincinnati Bengals,CIN,DST,-2,1,-2
491,Detroit Lions,DET,DST,-3,1,-3
491,Dallas Cowboys,DAL,DST,-3,1,-3
