Rank,Player,Team,Position,Points,Games,Avg
1,Aaron Jones,GB,RB,45.6,1,45.6
2,Dak Prescott,DAL,QB,39.8,1,39.8
3,Alvin Kamara,NO,RB,38.4,1,38.4
4,Cam Newton,NE,QB,35.6,1,35.6
5,Josh Allen,BUF,QB,34.5,1,34.5
6,Russell Wilson,SEA,QB,34.4,1,34.4
7,Kyler Murray,ARI,QB,33.1,1,33.1
8,Calvin Ridley,ATL,WR,29.9,1,29.9
9,Stefon Diggs,BUF,WR,29.3,1,29.3
10,Darren Waller,LV,TE,28.5,1,28.5
10,Matt Ryan,ATL,QB,28.5,1,28.5
12,Tyler Higbee,LAR,TE,28.4,1,28.4
13,Leonard Fournette,TB,RB,27.6,1,27.6
14,Patrick Mahomes II,KC,QB,27.5,1,27.5
15,Mike Gesicki,MIA,TE,27,1,27
16,Ryan Tannehill,TEN,QB,26.8,1,26.8
17,Nick Chubb,CLE,RB,26.3,1,26.3
18,Julian Edelman,NE,WR,25.9,1,25.9
19,Gardner Minshew II,JAC,QB,25.5,1,25.5
19,Terry McLaurin,WAS,WR,25.5,1,25.5
21,Christian McCaffrey,CAR,RB,24.8,1,24.8
22,Joe Burrow,CIN,QB,24.5,1,24.5
23,Jonnu Smith,TEN,TE,24.4,1,24.4
24,Ryan Fitzpatrick,MIA,QB,24.3,1,24.3
25,Kareem Hunt,CLE,RB,24.1,1,24.1
26,Travis Kelce,KC,TE,24,1,24
26,Jared Goff,LAR,QB,24,1,24
26,Jordan Reed,SF,TE,24,1,24
29,Mike Evans,TB,WR,23.4,1,23.4
30,Justin Herbert,LAC,QB,23.2,1,23.2
30,Diontae Johnson,PIT,WR,23.2,1,23.2
32,Ezekiel Elliott,DAL,RB,22.2,1,22.2
33,Tyreek Hill,KC,WR,21.8,1,21.8
33,Dalton Schultz,DAL,TE,21.8,1,21.8
35,Derek Carr,LV,QB,21.7,1,21.7
35,David Montgomery,CHI,RB,21.7,1,21.7
37,James Robinson,JAC,RB,21,1,21
38,DeAndre Hopkins,ARI,WR,20.8,1,20.8
39,Tyler Boyd,CIN,WR,20.2,1,20.2
40,Darrell Henderson,LAR,RB,20.1,1,20.1
40,Miles Sanders,PHI,RB,20.1,1,20.1
40,James Conner,PIT,RB,20.1,1,20.1
43,D.J. Moore,CAR,WR,20,1,20
44,Chris Carson,SEA,RB,19.8,1,19.8
45,Jeff Driskel,DEN,QB,19.7,1,19.7
45,Tyler Lockett,SEA,WR,19.7,1,19.7
47,Ben Roethlisberger,PIT,QB,19.2,1,19.2
47,D.K. Metcalf,SEA,WR,19.2,1,19.2
47,Aaron Rodgers,GB,QB,19.2,1,19.2
50,Jonathan Taylor,IND,RB,19,1,19
51,Austin Ekeler,LAC,RB,18.8,1,18.8
52,Raheem Mostert,SF,RB,18.7,1,18.7
53,Hayden Hurst,ATL,TE,18.2,1,18.2
53,John Brown,BUF,WR,18.2,1,18.2
55,Robby Anderson,CAR,WR,17.9,1,17.9
55,Braxton Berrios,NYJ,WR,17.9,1,17.9
57,Keelan Cole,JAC,WR,17.8,1,17.8
