Rank,Player,Team,Position,Points,Games,Avg
1,Derrick Henry,TEN,RB,40.4,1,40.4
2,Justin Jefferson,MIN,WR,39.6,1,39.6
3,Julio Jones,ATL,WR,33.7,1,33.7
4,Deshaun Watson,HOU,QB,32,1,32
5,Matt Ryan,ATL,QB,31.6,1,31.6
6,Ryan Tannehill,TEN,QB,29.6,1,29.6
7,Carson Wentz,PHI,QB,29.4,1,29.4
8,Kyler Murray,ARI,QB,28.9,1,28.9
9,Kenyan Drake,ARI,RB,28.4,1,28.4
10,Lamar Jackson,BAL,QB,28.2,1,28.2
11,D'Andre Swift,DET,RB,27.3,1,27.3
12,Kirk Cousins,MIN,QB,26.7,1,26.7
13,Ronald Jones II,TB,RB,26.1,1,26.1
14,Philip Rivers,IND,QB,25.7,1,25.7
15,Anthony Firkser,TEN,TE,25.3,1,25.3
16,Will Fuller V,HOU,WR,24.3,1,24.3
17,Brandon McManus,DEN,K,24,1,24
18,George Kittle,SF,TE,23.9,1,23.9
19,Jimmy Garoppolo,SF,QB,23.5,1,23.5
20,A.J. Brown,TEN,WR,22.8,1,22.8
21,Christian Kirk,ARI,WR,22.6,1,22.6
22,Trey Burton,IND,TE,21.9,1,21.9
23,Brandin Cooks,HOU,WR,21.8,1,21.8
24,Travis Kelce,KC,TE,21.5,1,21.5
25,Amari Cooper,DAL,WR,20.9,1,20.9
25,Clyde Edwards-Helaire,KC,RB,20.9,1,20.9
27,Patrick Mahomes II,KC,QB,20.6,1,20.6
28,Cam Newton,NE,QB,20.5,1,20.5
28,Darren Fells,HOU,TE,20.5,1,20.5
30,Keelan Cole,JAC,WR,20.3,1,20.3
31,Younghoe Koo,ATL,K,20,1,20
32,Travis Fulgham,PHI,WR,19.5,1,19.5
33,Gardner Minshew II,JAC,QB,19.1,1,19.1
34,Tampa Bay Buccaneers,TB,DST,19,1,19
35,Calvin Ridley,ATL,WR,18.9,1,18.9
36,Rob Gronkowski,TB,TE,18.8,1,18.8
37,Tee Higgins,CIN,WR,18.7,1,18.7
38,Adam Humphries,TEN,WR,18.4,1,18.4
39,Chase Claypool,PIT,WR,18.1,1,18.1
40,Ryan Fitzpatrick,MIA,QB,18,1,18
40,Pittsburgh Steelers,PIT,DST,18,1,18
40,Deebo Samuel,SF,WR,18,1,18
43,Joe Burrow,CIN,QB,17.7,1,17.7
44,A.J. Green,CIN,WR,17.6,1,17.6
45,Nick Foles,CHI,QB,17.3,1,17.3
46,James Conner,PIT,RB,17.2,1,17.2
47,Kyle Allen,WAS,QB,17,1,17
48,James Washington,PIT,WR,16.8,1,16.8
49,Stefon Diggs,BUF,WR,16.6,1,16.6
49,Myles Gaskin,MIA,RB,16.6,1,16.6
51,Josh Allen,BUF,QB,16.1,1,16.1
52,Justin Tucker,BAL,K,16,1,16
53,Jared Goff,LAR,QB,15.9,1,15.9
54,Marcus Johnson,IND,WR,15.8,1,15.8
55,Hayden Hurst,ATL,TE,15.7,1,15.7
56,Jonathan Taylor,IND,RB,15.5,1,15.5
57,Zach Pascal,IND,WR,15.4,1,15.4
58,James Robinson,JAC,RB,15.3,1,15.3
58,James White,NE,RB,15.3,1,15.3
60,Arizona Cardinals,ARI,DST,15,1,15
60,Miami Dolphins,MIA,DST,15,1,15
62,Joe Mixon,CIN,RB,14.9,1,14.9
62,Daniel Jones,NYG,QB,14.9,1,14.9
64,Tom Brady,TB,QB,14.6,1,14.6
65,Cole Beasley,BUF,WR,14.5,1,14.5
65,Kenny Golladay,DET,WR,14.5,1,14.5
67,Terry McLaurin,WAS,WR,14.4,1,14.4
67,J.D. McKissic,WAS,RB,14.4,1,14.4
69,D.J. Moore,CAR,WR,14.3,1,14.3
70,Tim Patrick,DEN,WR,14.1,1,14.1
70,Adam Shaheen,MIA,TE,14.1,1,14.1
70,Adam Thielen,MIN,WR,14.1,1,14.1
73,Denver Broncos,DEN,DST,14,1,14
73,Robert Woods,LAR,WR,14,1,14
73,New York Giants,NYG,DST,14,1,14
76,David Johnson,HOU,RB,13.9,1,13.9
77,David Montgomery,CHI,RB,13.7,1,13.7
78,CeeDee Lamb,DAL,WR,13.4,1,13.4
79,Matthew Stafford,DET,QB,13.3,1,13.3
80,Logan Thomas,WAS,TE,13.2,1,13.2
81,Aaron Jones,GB,RB,13.1,1,13.1
82,Cairo Santos,CHI,K,13,1,13
82,Andy Dalton,DAL,QB,13,1,13
84,Tyler Boyd,CIN,WR,12.9,1,12.9
85,Adrian Peterson,DET,RB,12.8,1,12.8
86,Josh Reynolds,LAR,WR,12.5,1,12.5
87,Nick Boyle,BAL,TE,12.3,1,12.3
88,Miles Sanders,PHI,RB,12.2,1,12.2
89,Davante Adams,GB,WR,12.1,1,12.1
90,Randy Bullock,CIN,K,12,1,12
90,Ezekiel Elliott,DAL,RB,12,1,12
92,Demarcus Robinson,KC,WR,11.9,1,11.9
93,Darius Slayton,NYG,WR,11.8,1,11.8
93,Giovani Bernard,CIN,RB,11.8,1,11.8
93,Jamison Crowder,NYJ,WR,11.8,1,11.8
96,Robby Anderson,CAR,WR,11.7,1,11.7
97,Irv Smith Jr.,MIN,TE,11.5,1,11.5
97,D.J. Chark Jr.,JAC,WR,11.5,1,11.5
97,Mike Davis,CAR,RB,11.5,1,11.5
100,Teddy Bridgewater,CAR,QB,11.4,1,11.4
101,Darrel Williams,KC,RB,11.1,1,11.1
102,Frank Gore,NYJ,RB,11,1,11
102,Matt Prater,DET,K,11,1,11
102,Joey Slye,CAR,K,11,1,11
102,Chicago Bears,CHI,DST,11,1,11
102,Ben Roethlisberger,PIT,QB,11,1,11
107,Randall Cobb,HOU,WR,10.7,1,10.7
108,Russell Gage,ATL,WR,10.5,1,10.5
109,Allen Robinson II,CHI,WR,10.3,1,10.3
110,Breshad Perriman,NYJ,WR,10.2,1,10.2
110,Austin Hooper,CLE,TE,10.2,1,10.2
112,Phillip Lindsay,DEN,RB,10.1,1,10.1
113,Cole Kmet,CHI,TE,10,1,10
113,Ryan Succop,TB,K,10,1,10
115,Jack Doyle,IND,TE,9.9,1,9.9
116,Preston Williams,MIA,WR,9.8,1,9.8
116,Chris Godwin,TB,WR,9.8,1,9.8
118,Todd Gurley II,ATL,RB,9.7,1,9.7
118,T.J. Hockenson,DET,TE,9.7,1,9.7
118,Marquise Brown,BAL,WR,9.7,1,9.7
121,Raheem Mostert,SF,RB,9.6,1,9.6
122,Dontrelle Inman,WAS,WR,9.5,1,9.5
122,Antonio Gibson,WAS,RB,9.5,1,9.5
124,DeAndre Hopkins,ARI,WR,9.3,1,9.3
125,Cam Sims,WAS,WR,9.2,1,9.2
125,Brandon Aiyuk,SF,WR,9.2,1,9.2
125,Darrell Henderson,LAR,RB,9.2,1,9.2
128,Benny Snell Jr.,PIT,RB,9.1,1,9.1
129,Jakeem Grant,MIA,WR,8.8,1,8.8
130,Gus Edwards,BAL,RB,8.6,1,8.6
130,Tyler Higbee,LAR,TE,8.6,1,8.6
132,Jimmy Graham,CHI,TE,8.4,1,8.4
133,Rashard Higgins,CLE,WR,8.3,1,8.3
134,Jeremy McNichols,TEN,RB,8.2,1,8.2
135,Chris Boswell,PIT,K,8,1,8
135,Graham Gano,NYG,K,8,1,8
135,Rodrigo Blankenship,IND,K,8,1,8
135,Harrison Butker,KC,K,8,1,8
135,Zane Gonzalez,ARI,K,8,1,8
140,Kareem Hunt,CLE,RB,7.7,1,7.7
140,Nyheim Hines,IND,RB,7.7,1,7.7
140,Kyle Rudolph,MIN,TE,7.7,1,7.7
140,Tyler Johnson,TB,WR,7.7,1,7.7
144,Dalton Schultz,DAL,TE,7.5,1,7.5
145,Durham Smythe,MIA,TE,7.4,1,7.4
146,Baker Mayfield,CLE,QB,7.3,1,7.3
146,Zach Ertz,PHI,TE,7.3,1,7.3
146,Jason Croom,PHI,TE,7.3,1,7.3
149,Nick Folk,NE,K,7,1,7
149,Robbie Gould,SF,K,7,1,7
149,Dustin Hopkins,WAS,K,7,1,7
149,New England Patriots,NE,DST,7,1,7
149,Jarvis Landry,CLE,WR,7,1,7
149,Baltimore Ravens,BAL,DST,7,1,7
149,Atlanta Falcons,ATL,DST,7,1,7
156,Damiere Byrd,NE,WR,6.8,1,6.8
157,Devonta Freeman,NYG,RB,6.7,1,6.7
158,Isaiah Wright,WAS,WR,6.6,1,6.6
158,Byron Pringle,KC,WR,6.6,1,6.6
158,Darnell Mooney,CHI,WR,6.6,1,6.6
161,Albert Okwuegbunam,DEN,TE,6.5,1,6.5
161,DeVante Parker,MIA,WR,6.5,1,6.5
