Name,Position,Salary,Team,Opp,All Scores,Best Score,Best / Sal
Seattle Seahawks,DST,3200,SEA,SF,"[6.0, 3.0, 9.0, 5.0, 7.0, nan, 0.0]",9.0,2.81
Quintez Cephus,WR,3000,DET,IND,"[7.3, 8.4, 0.0, 0.0, nan, nan, nan]",8.4,2.8
Van Jefferson,WR,3000,LAR,MIA,"[4.1, 8.4, 0.0, 0.0, 0.0, 1.8, 2.4]",8.4,2.8
Detroit Lions,DST,2500,DET,IND,"[1.0, -3.0, 7.0, 0.0, nan, 6.0, 4.0]",7.0,2.8
Darrel Williams,RB,4000,KC,NYJ,"[5.0, 2.2, 2.7, 0.2, 4.9, 11.1, 0.0]",11.1,2.78
Alexander Mattison,RB,6000,MIN,GB,"[12.0, 2.6, 2.7, 7.7, 16.6, 4.0, nan]",16.6,2.77
Frank Gore,RB,4000,NYJ,KC,"[2.4, 6.3, 7.2, 4.6, 3.0, 11.0, 6.0]",11.0,2.75
Los Angeles Chargers,DST,4000,LAC,DEN,"[11.0, 1.0, 2.0, 4.0, 3.0, nan, 8.0]",11.0,2.75
Minnesota Vikings,DST,2200,MIN,GB,"[-4.0, 3.0, 3.0, 5.0, 6.0, 0.0, nan]",6.0,2.73
Jarvis Landry,WR,5600,CLE,LV,"[11.1, 7.6, 7.6, 15.3, 12.8, 7.0, 11.0]",15.3,2.73
Joshua Kelley,RB,4900,LAC,DEN,"[12.0, 13.3, 5.2, 4.3, 4.8, nan, 10.3]",13.3,2.71
Kyle Rudolph,TE,3400,MIN,GB,"[4.8, 0.0, 9.1, 4.7, 2.0, 7.7, nan]",9.1,2.68
Kenny Golladay,WR,6600,DET,IND,"[nan, nan, 17.7, 16.2, nan, 14.5, 17.4]",17.7,2.68
Tennessee Titans,DST,3000,TEN,CIN,"[3.0, 5.0, 7.0, nan, 8.0, -2.0, 6.0]",8.0,2.67
Chris Herndon IV,TE,2900,NYJ,KC,"[7.7, 1.5, 5.1, 2.1, 4.4, 0.0, 0.0]",7.7,2.66
Zack Moss,RB,4400,BUF,NE,"[11.7, 3.7, nan, nan, nan, 1.0, 10.2]",11.7,2.66
Kyle Juszczyk,RB,4000,SF,SEA,"[5.8, 2.6, 1.7, 2.3, 7.1, 1.8, 10.6]",10.6,2.65
T.Y. Hilton,WR,4900,IND,DET,"[9.3, 5.8, 8.2, 5.9, 12.9, 2.1, nan]",12.9,2.63
Miles Boykin,WR,3000,BAL,PIT,"[6.7, 7.8, 1.8, 4.8, 0.0, 2.1, nan]",7.8,2.6
Vance McDonald,TE,2500,PIT,BAL,"[1.3, 1.3, 6.5, nan, 1.4, 0.0, 3.4]",6.5,2.6
Denzel Mims,WR,3200,NYJ,KC,"[nan, nan, nan, nan, nan, nan, 8.2]",8.2,2.56
Joe Reed,WR,3000,LAC,DEN,"[0.0, 0.8, 0.0, nan, nan, nan, 7.4]",7.4,2.47
KJ Hamler,WR,3600,DEN,LAC,"[nan, 8.7, 5.8, 0.0, nan, nan, 5.4]",8.7,2.42
Damien Harris,RB,4200,NE,BUF,"[nan, nan, nan, 10.0, nan, 4.3, 8.0]",10.0,2.38
D'Ernest Johnson,RB,4000,CLE,LV,"[0.5, 0.0, 0.0, 9.5, 4.6, 0.1, 0.3]",9.5,2.38
Javon Wims,WR,3000,CHI,NO,"[7.1, 3.7, 0.0, 0.0, 0.0, 0.0, 1.8]",7.1,2.37
Cordarrelle Patterson,WR,3200,CHI,NO,"[4.1, 5.3, 1.3, 1.5, 7.5, 1.9, 4.2]",7.5,2.34
Kerryon Johnson,RB,4000,DET,IND,"[1.4, 9.2, 4.0, 2.2, nan, 3.0, 0.0]",9.2,2.3
Byron Pringle,WR,3000,KC,NYJ,"[0.0, 0.0, 0.0, nan, 3.3, 6.6, 6.0]",6.6,2.2
Tyrod Taylor,QB,4100,LAC,DEN,"[9.0, nan, nan, nan, nan, nan, nan]",9.0,2.2
Jalen Richard,RB,4000,LV,CLE,"[2.5, 8.6, 5.2, 3.6, 7.0, nan, 2.4]",8.6,2.15
Marlon Mack,RB,4000,IND,DET,"[8.6, nan, nan, nan, nan, nan, nan]",8.6,2.15
Alec Ingold,RB,4000,LV,CLE,"[0.0, 8.5, 2.1, 4.8, 4.5, nan, 3.1]",8.5,2.12
Devontae Booker,RB,4000,LV,CLE,"[8.2, 1.5, 3.1, 0.0, 7.7, nan, 3.4]",8.2,2.05
Jeremy McNichols,RB,4000,TEN,CIN,"[0.0, 0.7, 1.5, nan, 4.1, 8.2, 0.2]",8.2,2.05
Phillip Lindsay,RB,5000,DEN,LAC,"[4.5, nan, nan, nan, nan, 10.1, 7.9]",10.1,2.02
KhaDarel Hodge,WR,3000,CLE,LV,"[2.2, 5.9, 0.0, nan, nan, nan, nan]",5.9,1.97
Gus Edwards,RB,4400,BAL,PIT,"[1.7, 7.3, 3.9, 3.8, 2.5, 8.6, nan]",8.6,1.95
Matt Breida,RB,4000,MIA,LAR,"[2.2, 4.9, 0.4, 7.8, 6.9, 4.2, nan]",7.8,1.95
Travis Homer,RB,4000,SEA,SF,"[2.3, 2.1, 1.9, 7.8, 1.4, nan, 1.0]",7.8,1.95
Ryan Izzo,TE,2500,NE,BUF,"[3.5, 3.9, 0.0, 0.0, nan, 4.8, 1.8]",4.8,1.92
Michael Pittman Jr.,WR,4000,IND,DET,"[3.0, 7.7, 5.6, nan, nan, nan, nan]",7.7,1.92
Bryan Edwards,WR,3600,LV,CLE,"[1.9, 6.2, 6.8, nan, nan, nan, nan]",6.8,1.89
Nick Vannett,TE,2500,DEN,LAC,"[0.4, 0.0, nan, 1.7, nan, 1.7, 4.5]",4.5,1.8
Demetrius Harris,TE,2500,CHI,NO,"[0.0, 0.0, 4.5, 1.6, 1.9, 0.0, 3.5]",4.5,1.8
Tarik Cohen,RB,4000,CHI,NO,"[6.7, 3.7, 7.1, nan, nan, nan, nan]",7.1,1.78
Patrick Ricard,RB,4000,BAL,PIT,"[-0.6, 7.1, 0.0, 0.0, 1.7, 0.0, nan]",7.1,1.78
Jakob Johnson,RB,4000,NE,BUF,"[0.0, 7.1, 1.6, 0.0, nan, 0.0, 1.1]",7.1,1.78
Taysom Hill,QB,4100,NO,CHI,"[5.2, 0.8, -0.3, 2.4, 7.3, nan, 0.6]",7.3,1.78
Jordan Howard,RB,4000,MIA,LAR,"[6.7, 6.4, 6.1, 0.9, nan, nan, nan]",6.7,1.68
Le'Veon Bell,RB,4600,KC,NYJ,"[6.6, nan, nan, nan, 7.7, nan, 3.9]",7.7,1.67
JaMycal Hasty,RB,5000,SF,SEA,"[nan, nan, 2.8, 0.0, 0.0, 3.7, 8.3]",8.3,1.66
Auden Tate,WR,3000,CIN,TEN,"[0.0, nan, 4.9, 2.5, 2.2, nan, 0.0]",4.9,1.63
Ashton Dulin,WR,3000,IND,DET,"[0.0, 1.6, 0.0, 0.0, 4.7, 0.0, nan]",4.7,1.57
Chad Henne,QB,4100,KC,NYJ,"[nan, nan, nan, nan, nan, nan, 6.3]",6.3,1.54
DaeSean Hamilton,WR,3000,DEN,LAC,"[2.8, 1.5, 0.0, 1.9, nan, 0.0, 4.6]",4.6,1.53
Tevin Coleman,RB,4000,SF,SEA,"[3.4, 6.0, nan, nan, nan, nan, nan]",6.0,1.5
Anthony McFarland Jr.,RB,4000,PIT,BAL,"[nan, nan, 5.9, nan, 0.6, 1.8, 0.6]",5.9,1.48
Adam Trautman,TE,2500,NO,CHI,"[0.0, 2.7, 3.7, 0.0, nan, nan, 0.0]",3.7,1.48
Nick Keizer,TE,2500,KC,NYJ,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.2, 3.6]",3.6,1.44
Dawson Knox,TE,3200,BUF,NE,"[4.6, 2.6, nan, 3.6, 2.5, nan, nan]",4.6,1.44
Ryan Griffin,TE,2800,NYJ,KC,"[0.0, 0.0, 0.0, 4.0, 0.0, 3.7, 0.0]",4.0,1.43
Cam Akers,RB,4300,LAR,MIA,"[5.3, 1.3, nan, nan, 6.1, 0.0, nan]",6.1,1.42
Las Vegas Raiders,DST,2900,LV,CLE,"[0.0, 2.0, 3.0, 0.0, 4.0, nan, -4.0]",4.0,1.38
Jordan Wilkins,RB,4000,IND,DET,"[0.0, 4.0, 5.5, 4.1, 0.1, -0.1, nan]",5.5,1.38
Royce Freeman,RB,4000,DEN,LAC,"[2.2, 2.0, 5.5, 3.2, nan, 4.0, 2.7]",5.5,1.38
Darrius Shepherd,WR,3000,GB,MIN,"[nan, nan, 0.0, 4.1, nan, 2.6, 0.0]",4.1,1.37
Cethan Carter,TE,2500,CIN,TEN,"[0.0, 0.0, 1.1, 3.4, 0.0, 0.0, nan]",3.4,1.36
Tyler Ervin,RB,4000,GB,MIN,"[5.4, 1.4, 3.3, 1.8, nan, nan, nan]",5.4,1.35
Ted Ginn Jr.,WR,3000,CHI,NO,"[0.0, nan, 3.9, 3.1, 0.0, 0.0, nan]",3.9,1.3
John Ross,WR,3000,CIN,TEN,"[3.7, 0.0, nan, nan, nan, 0.0, nan]",3.7,1.23
Geoff Swaim,TE,2500,TEN,CIN,"[nan, nan, nan, nan, 0.0, 3.0, 0.0]",3.0,1.2
C.J. Beathard,QB,5000,SF,SEA,"[nan, nan, nan, 5.5, 5.8, nan, nan]",5.8,1.16
Ty Montgomery,RB,4000,NO,CHI,"[-0.4, 4.5, nan, nan, nan, nan, nan]",4.5,1.12
Chad Beebe,WR,3000,MIN,GB,"[nan, nan, 1.7, 0.0, 2.1, 3.3, nan]",3.3,1.1
J.J. Taylor,RB,4000,NE,BUF,"[4.2, -0.1, 4.3, nan, nan, nan, nan]",4.3,1.08
DeeJay Dallas,RB,4000,SEA,SF,"[nan, nan, 0.0, 4.3, 0.0, nan, 3.8]",4.3,1.08
Ty Johnson,RB,4000,NYJ,KC,"[0.0, 0.0, nan, nan, nan, 4.2, 0.0]",4.2,1.05
Josh Hill,TE,2500,NO,CHI,"[0.0, 2.6, 0.0, 1.7, 1.1, nan, 1.0]",2.6,1.04
Bennie Fowler III,WR,3000,NO,CHI,"[0.0, 0.0, 0.0, 0.0, 3.1, nan, nan]",3.1,1.03
Trent Taylor,WR,3000,SF,SEA,"[2.7, 3.0, 3.0, 0.0, 0.0, 1.8, 0.0]",3.0,1.0
Jarrett Stidham,QB,5300,NE,BUF,"[nan, nan, nan, 4.7, nan, nan, 1.9]",4.7,0.89
Josiah Deguara,TE,2500,GB,MIN,"[2.2, nan, nan, 0.0, nan, nan, nan]",2.2,0.88
Alex Erickson,WR,3000,CIN,TEN,"[0.0, 0.0, 0.0, 2.6, 0.0, 0.0, 0.0]",2.6,0.87
K.J. Hill,WR,3000,LAC,DEN,"[0.0, 0.0, 2.5, 0.0, 1.8, nan, nan]",2.5,0.83
Stephen Carlson,TE,2500,CLE,LV,"[0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0]",2.0,0.8
Dontrell Hilliard,RB,4000,CLE,LV,"[nan, nan, nan, 3.1, 0.0, 2.9, 0.0]",3.1,0.78
AJ Dillon,RB,4000,GB,MIN,"[1.4, 1.7, 0.0, 0.3, nan, 3.1, 1.1]",3.1,0.78
Dalton Keene,TE,2500,NE,BUF,"[nan, nan, nan, nan, nan, nan, 1.8]",1.8,0.72
Patrick Laird,RB,4000,MIA,LAR,"[2.9, 0.0, 0.0, 0.0, 0.0, 1.2, nan]",2.9,0.72
Brian Hoyer,QB,4200,NE,BUF,"[nan, nan, nan, 3.0, nan, nan, nan]",3.0,0.71
Marcus Kemp,WR,3000,KC,NYJ,"[0.0, 0.0, 0.0, nan, nan, 0.0, 2.1]",2.1,0.7
Gunner Olszewski,WR,3000,NE,BUF,"[nan, nan, nan, 2.1, nan, 0.0, 0.0]",2.1,0.7
Nick Westbrook-Ikhine,WR,3000,TEN,CIN,"[nan, 0.0, 0.0, nan, 1.7, 2.0, 0.0]",2.0,0.67
Michael Thomas,WR,7300,NO,CHI,"[4.7, nan, nan, nan, nan, nan, nan]",4.7,0.64
Jake Butt,TE,2500,DEN,LAC,"[1.0, 0.0, 1.5, 0.0, nan, 0.0, nan]",1.5,0.6
Deon Yelder,TE,2500,KC,NYJ,"[nan, nan, 0.0, 1.5, 0.0, 0.0, 0.0]",1.5,0.6
Trevon Wesco,TE,2500,NYJ,KC,"[0.0, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0]",1.5,0.6
Tyrie Cleveland,WR,3000,DEN,LAC,"[1.7, nan, 0.0, 0.0, nan, 0.0, 0.0]",1.7,0.57
Andy Janovich,RB,4000,CLE,LV,"[0.0, 1.0, 2.3, 0.0, 0.4, 0.0, 0.0]",2.3,0.57
Diontae Spencer,WR,3000,DEN,LAC,"[0.0, 0.0, 1.7, 0.0, nan, 0.9, nan]",1.7,0.57
Austin Carr,WR,3000,NO,CHI,"[nan, nan, nan, nan, 0.0, nan, 1.6]",1.6,0.53
C.J. Ham,RB,4000,MIN,GB,"[0.0, 0.4, 2.1, 0.2, 0.0, 0.0, nan]",2.1,0.52
Isaac Nauta,TE,2500,DET,IND,"[nan, nan, nan, nan, nan, 0.0, 1.3]",1.3,0.52
Darwin Thompson,RB,4000,KC,NYJ,"[0.0, 2.1, -0.9, nan, 0.0, 1.7, nan]",2.1,0.52
Gabe Nabers,RB,4000,LAC,DEN,"[0.0, 0.0, 0.0, 1.9, 0.0, nan, 0.0]",1.9,0.48
Mike Boone,RB,4000,MIN,GB,"[0.0, 0.0, 0.0, 0.0, 1.9, 1.5, nan]",1.9,0.48
Ameer Abdullah,RB,4000,MIN,GB,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.8, nan]",1.8,0.45
Andre Roberts,WR,3000,BUF,NE,"[0.0, 0.0, 0.0, 1.3, 0.6, 0.0, 0.0]",1.3,0.43
Case Keenum,QB,4200,CLE,LV,"[nan, nan, nan, nan, nan, 1.8, nan]",1.8,0.43
Michael Burton,RB,4000,NO,CHI,"[0.0, 0.0, 0.0, 1.7, 0.2, nan, 0.0]",1.7,0.42
DeAndre Washington,RB,4000,KC,NYJ,"[nan, nan, nan, nan, nan, nan, 1.7]",1.7,0.42
Samaje Perine,RB,4000,CIN,TEN,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6]",1.6,0.4
Chandler Cox,RB,4000,MIA,LAR,"[0.0, 0.0, 0.0, 1.3, 1.6, 0.0, nan]",1.6,0.4
Khari Blasingame,RB,4000,TEN,CIN,"[1.5, 0.0, 0.0, nan, nan, 0.0, 0.0]",1.5,0.38
Jaylen Samuels,RB,4000,PIT,BAL,"[1.3, 1.4, 0.1, nan, 0.0, 0.0, 0.5]",1.4,0.35
Darrynton Evans,RB,4000,TEN,CIN,"[nan, nan, 0.9, nan, 1.2, nan, nan]",1.2,0.3
Ryan Nall,RB,4000,CHI,NO,"[0.0, 1.2, 0.0, 0.0, 0.0, 0.0, nan]",1.2,0.3
Lynn Bowden Jr.,WR,3000,MIA,LAR,"[nan, 0.9, nan, 0.5, 0.4, 0.0, nan]",0.9,0.3
Matt Barkley,QB,4100,BUF,NE,"[nan, nan, nan, nan, 0.9, nan, nan]",0.9,0.22
Senorise Perry,RB,4000,TEN,CIN,"[0.0, 0.9, nan, nan, nan, nan, nan]",0.9,0.22
Jacoby Brissett,QB,4500,IND,DET,"[0.0, nan, 0.7, nan, nan, nan, nan]",0.7,0.16
Troymaine Pope,RB,4000,LAC,DEN,"[nan, nan, nan, nan, 0.0, nan, 0.6]",0.6,0.15
JoJo Natson,WR,3000,CLE,LV,"[0.0, 0.0, 0.3, nan, nan, nan, nan]",0.3,0.1
Robert Griffin III,QB,4100,BAL,PIT,"[0.3, nan, nan, -0.7, -0.1, nan, nan]",0.3,0.07
Tua Tagovailoa,QB,5600,MIA,LAR,"[nan, nan, nan, nan, nan, 0.4, nan]",0.4,0.07
Mason Schreck,TE,2500,CIN,TEN,"[nan, nan, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
Clark Harris,TE,2500,CIN,TEN,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
Tim Boyle,QB,4100,GB,MIN,"[-0.2, -0.1, nan, -0.1, nan, 0.0, -0.1]",0.0,0.0
Ryan Finley,QB,4600,CIN,TEN,"[nan, nan, 0.0, nan, nan, nan, nan]",0.0,0.0
Ricky Seals-Jones,TE,2500,KC,NYJ,"[nan, nan, nan, nan, nan, 0.0, nan]",0.0,0.0
Beau Brinkley,TE,2500,TEN,CIN,"[nan, 0.0, 0.0, nan, 0.0, 0.0, 0.0]",0.0,0.0
Derek Carrier,TE,2500,LV,CLE,"[0.0, 0.0, 0.0, 0.0, 0.0, nan, 0.0]",0.0,0.0
Daniel Brown,TE,2500,NYJ,KC,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
Charlie Woerner,TE,2500,SF,SEA,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
Devin Asiasi,TE,2500,NE,BUF,"[0.0, 0.0, 0.0, nan, nan, 0.0, nan]",0.0,0.0
Luke Willson,TE,2500,SEA,SF,"[0.0, 0.0, nan, 0.0, 0.0, nan, nan]",0.0,0.0
Artavis Pierce,RB,4000,CHI,NO,"[nan, nan, nan, nan, nan, 0.0, nan]",0.0,0.0
Easton Stick,QB,4000,LAC,DEN,"[nan, nan, nan, nan, nan, nan, 0.0]",0.0,0.0
J.P. Holtz,TE,2500,CHI,NO,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
Raymond Calais,RB,4000,LAR,MIA,"[nan, nan, 0.0, 0.0, nan, nan, 0.0]",0.0,0.0
Xavier Jones,RB,4000,LAR,MIA,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]",0.0,0.0
Jason Moore,WR,3000,LAC,DEN,"[nan, nan, nan, 0.0, nan, nan, nan]",0.0,0.0
Tajae Sharpe,WR,3000,MIN,GB,"[0.0, 0.0, nan, nan, nan, nan, nan]",0.0,0.0
Dan Chisena,WR,3000,MIN,GB,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]",0.0,0.0
K.J. Osborn,WR,3000,MIN,GB,"[0.0, 0.0, nan, 0.0, nan, nan, nan]",0.0,0.0
Equanimeous St. Brown,WR,3000,GB,MIN,"[nan, nan, nan, nan, nan, 0.0, 0.0]",0.0,0.0
Juwan Johnson,WR,3000,NO,CHI,"[nan, nan, nan, nan, nan, nan, 0.0]",0.0,0.0
James Proche,WR,3000,BAL,PIT,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]",0.0,0.0
Trayveon Williams,RB,4000,CIN,TEN,"[nan, nan, nan, nan, nan, nan, 0.0]",0.0,0.0
Derek Watt,RB,4000,PIT,BAL,"[0.0, 0.0, 0.0, nan, nan, 0.0, nan]",0.0,0.0
Taywan Taylor,WR,3000,CLE,LV,"[nan, nan, nan, nan, nan, 0.0, nan]",0.0,0.0
Trey Edmunds,RB,4000,PIT,BAL,"[nan, nan, nan, nan, 0.0, nan, 0.0]",0.0,0.0
Matthew Slater,WR,3000,NE,BUF,"[0.0, 0.0, 0.0, nan, nan, 0.0, 0.0]",0.0,0.0
Duke Williams,WR,3000,BUF,NE,"[nan, nan, nan, nan, nan, nan, 0.0]",0.0,0.0
Vyncint Smith,WR,3000,NYJ,KC,"[nan, nan, nan, nan, nan, 0.0, 0.0]",0.0,0.0
Justice Hill,RB,4000,BAL,PIT,"[nan, nan, nan, 0.0, nan, 0.0, nan]",0.0,0.0
Mack Hollins,WR,3000,MIA,LAR,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]",0.0,0.0
Nsimba Webster,WR,3000,LAR,MIA,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
Penny Hart,WR,3000,SEA,SF,"[0.0, nan, 0.0, 0.0, 0.0, nan, nan]",0.0,0.0
Dante Pettis,WR,3000,SF,SEA,"[0.0, 0.0, 0.0, 0.0, nan, nan, nan]",0.0,0.0
Dwayne Washington,RB,4000,NO,CHI,"[nan, nan, 0.0, 0.0, 0.0, nan, 0.0]",0.0,0.0
Dexter Williams,RB,4000,GB,MIN,"[nan, nan, nan, nan, nan, nan, 0.0]",0.0,0.0
Noah Togiai,TE,2500,IND,DET,"[nan, 0.0, 0.0, nan, nan, 0.0, nan]",0.0,0.0
LeVante Bellamy,RB,4000,DEN,LAC,"[nan, 0.0, 0.0, 0.0, nan, nan, nan]",0.0,0.0
Stephen Anderson,TE,2500,LAC,DEN,"[0.0, 0.0, 0.0, 0.0, 0.0, nan, 0.0]",0.0,0.0
Andrew Beck,TE,2500,DEN,LAC,"[nan, 0.0, 0.0, 0.0, nan, 0.0, nan]",0.0,0.0
Tyler Conklin,TE,2500,MIN,GB,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]",0.0,0.0
John Lovett,TE,2500,GB,MIN,"[0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0]",0.0,0.0
Taiwan Jones,RB,4000,BUF,NE,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0
Mason Rudolph,QB,4100,PIT,BAL,"[nan, nan, nan, nan, nan, -0.1, nan]",-0.1,-0.02
Jameis Winston,QB,5000,NO,CHI,"[nan, nan, nan, nan, nan, nan, nan]",,
Marcus Mariota,QB,4600,LV,CLE,"[nan, nan, nan, nan, nan, nan, nan]",,
Nathan Peterman,QB,4400,LV,CLE,"[nan, nan, nan, nan, nan, nan, nan]",,
Sean Mannion,QB,4300,MIN,GB,"[nan, nan, nan, nan, nan, nan, nan]",,
Logan Woodside,QB,4200,TEN,CIN,"[nan, nan, nan, nan, nan, nan, nan]",,
Chase Daniel,QB,4100,DET,IND,"[nan, nan, nan, nan, nan, nan, nan]",,
John Wolford,QB,4100,LAR,MIA,"[nan, nan, nan, nan, nan, nan, nan]",,
Geno Smith,QB,4100,SEA,SF,"[nan, nan, nan, nan, nan, nan, nan]",,
Jacob Eason,QB,4000,IND,DET,"[nan, nan, nan, nan, nan, nan, nan]",,
David Blough,QB,4000,DET,IND,"[nan, nan, nan, nan, nan, nan, nan]",,
Bo Scarbrough,RB,4000,DET,IND,"[nan, nan, nan, nan, nan, nan, nan]",,
Jason Cabinda,RB,4000,DET,IND,"[nan, nan, nan, nan, nan, nan, nan]",,
Jordan Love,QB,4000,GB,MIN,"[nan, nan, nan, nan, nan, nan, nan]",,
Patrick Taylor,RB,4000,GB,MIN,"[nan, nan, nan, nan, nan, nan, nan]",,
Trace McSorley,QB,4000,BAL,PIT,"[nan, nan, nan, nan, nan, nan, nan]",,
Josh Dobbs,QB,4000,PIT,BAL,"[nan, nan, nan, nan, nan, nan, nan]",,
Jake Fromm,QB,4000,BUF,NE,"[nan, nan, nan, nan, nan, nan, nan]",,
James Morgan,QB,4000,NYJ,KC,"[nan, nan, nan, nan, nan, nan, nan]",,
Malcolm Perry,RB,4000,MIA,LAR,"[nan, nan, nan, nan, nan, nan, nan]",,
Salvon Ahmed,RB,4000,MIA,LAR,"[nan, nan, nan, nan, nan, nan, nan]",,
Rashaad Penny,RB,4000,SEA,SF,"[nan, nan, nan, nan, nan, nan, nan]",,
Nick Bellore,RB,4000,SEA,SF,"[nan, nan, nan, nan, nan, nan, nan]",,
Dezmon Patmon,WR,3000,IND,DET,"[nan, nan, nan, nan, nan, nan, nan]",,
Reece Fountain,WR,3000,IND,DET,"[nan, nan, nan, nan, nan, nan, nan]",,
Jamal Agnew,WR,3000,DET,IND,"[nan, nan, nan, nan, nan, nan, nan]",,
Riley Ridley,WR,3000,CHI,NO,"[nan, nan, nan, nan, nan, nan, nan]",,
Chris Moore,WR,3000,BAL,PIT,"[nan, nan, nan, nan, nan, nan, nan]",,
Antoine Wesley,WR,3000,BAL,PIT,"[nan, nan, nan, nan, nan, nan, nan]",,
DeAndrew White,WR,3000,BAL,PIT,"[nan, nan, nan, nan, nan, nan, nan]",,
Rico Gafford,WR,3000,LV,CLE,"[nan, nan, nan, nan, nan, nan, nan]",,
Tyrell Williams,WR,3000,LV,CLE,"[nan, nan, nan, nan, nan, nan, nan]",,
Quincy Adeboyejo,WR,3000,NE,BUF,"[nan, nan, nan, nan, nan, nan, nan]",,
Isaiah Hodgins,WR,3000,BUF,NE,"[nan, nan, nan, nan, nan, nan, nan]",,
Trishton Jackson,WR,3000,LAR,MIA,"[nan, nan, nan, nan, nan, nan, nan]",,
Phillip Dorsett II,WR,3000,SEA,SF,"[nan, nan, nan, nan, nan, nan, nan]",,
Josh Gordon,WR,3000,SEA,SF,"[nan, nan, nan, nan, nan, nan, nan]",,
Richie James,WR,3000,SF,SEA,"[nan, nan, nan, nan, nan, nan, nan]",,
Jalen Hurd,WR,3000,SF,SEA,"[nan, nan, nan, nan, nan, nan, nan]",,
Tavon Austin,WR,3000,SF,SEA,"[nan, nan, nan, nan, nan, nan, nan]",,
Hunter Bryant,TE,2500,DET,IND,"[nan, nan, nan, nan, nan, nan, nan]",,
Austin Fort,TE,2500,DEN,LAC,"[nan, nan, nan, nan, nan, nan, nan]",,
Zach Wood,TE,2500,NO,CHI,"[nan, nan, nan, nan, nan, nan, nan]",,
Darion Clark,TE,2500,CHI,NO,"[nan, nan, nan, nan, nan, nan, nan]",,
Patrick Scales,TE,2500,CHI,NO,"[nan, nan, nan, nan, nan, nan, nan]",,
Zach Gentry,TE,2500,PIT,BAL,"[nan, nan, nan, nan, nan, nan, nan]",,
Nick O'Leary,TE,2500,LV,CLE,"[nan, nan, nan, nan, nan, nan, nan]",,
Tommy Sweeney,TE,2500,BUF,NE,"[nan, nan, nan, nan, nan, nan, nan]",,
James Winchester,TE,2500,KC,NYJ,"[nan, nan, nan, nan, nan, nan, nan]",,
Brycen Hopkins,TE,2500,LAR,MIA,"[nan, nan, nan, nan, nan, nan, nan]",,
Colby Parkinson,TE,2500,SEA,SF,"[nan, nan, nan, nan, nan, nan, nan]",,
Tyler Ott,TE,2500,SEA,SF,"[nan, nan, nan, nan, nan, nan, nan]",,
