Rank,Player,Team,Position,Points,Games,Avg
72,Peyton Barber,WAS,RB,14.9,1,14.9
72,Jonathan Taylor,IND,RB,14.9,1,14.9
74,Kenyan Drake,ARI,RB,14.5,1,14.5
75,Drew Brees,NO,QB,14.4,1,14.4
75,Adrian Peterson,DET,RB,14.4,1,14.4
77,J.K. Dobbins,BAL,RB,14.2,1,14.2
78,David Njoku,CLE,TE,14,1,14
78,Parris Campbell,IND,WR,14,1,14
80,Chris Godwin,TB,WR,13.9,1,13.9
81,Todd Gurley II,ATL,RB,13.7,1,13.7
81,Laviska Shenault Jr.,JAC,WR,13.7,1,13.7
81,Logan Thomas,WAS,TE,13.7,1,13.7
84,Derek Carr,LV,QB,13.6,1,13.6
84,O.J. Howard,TB,TE,13.6,1,13.6
84,Jonnu Smith,TEN,TE,13.6,1,13.6
87,Chase Edmonds,ARI,RB,13.5,1,13.5
88,Jerick McKinnon,SF,RB,13.4,1,13.4
89,Danny Amendola,DET,WR,13.1,1,13.1
89,Drew Lock,DEN,QB,13.1,1,13.1
91,Jared Cook,NO,TE,13,1,13
91,Julian Edelman,NE,WR,13,1,13
93,Scotty Miller,TB,WR,12.9,1,12.9
94,Dwayne Haskins,WAS,QB,12.8,1,12.8
95,Saquon Barkley,NYG,RB,12.6,1,12.6
96,Greg Olsen,SEA,TE,12.4,1,12.4
97,Allen Robinson II,CHI,WR,12.3,1,12.3
97,Hunter Henry,LAC,TE,12.3,1,12.3
99,Sam Darnold,NYJ,QB,12.2,1,12.2
100,Kareem Hunt,CLE,RB,12.1,1,12.1
101,Mason Crosby,GB,K,12,1,12
101,Josh Lambo,JAC,K,12,1,12
101,Joshua Kelley,LAC,RB,12,1,12
101,Daniel Carlson,LV,K,12,1,12
101,Joey Slye,CAR,K,12,1,12
101,Matt Prater,DET,K,12,1,12
101,Alexander Mattison,MIN,RB,12,1,12
108,Jordan Akins,HOU,TE,11.9,1,11.9
109,Zack Moss,BUF,RB,11.7,1,11.7
110,D.J. Chark Jr.,JAC,WR,11.5,1,11.5
110,Jimmy Graham,CHI,TE,11.5,1,11.5
110,Jared Goff,LAR,QB,11.5,1,11.5
113,James Washington,PIT,WR,11.4,1,11.4
114,Benny Snell Jr.,PIT,RB,11.3,1,11.3
114,D'Andre Swift,DET,RB,11.3,1,11.3
116,Terry McLaurin,WAS,WR,11.1,1,11.1
116,Jarvis Landry,CLE,WR,11.1,1,11.1
118,Los Angeles Chargers,LAC,DST,11,1,11
118,New England Patriots,NE,DST,11,1,11
118,Michael Badgley,LAC,K,11,1,11
121,CeeDee Lamb,DAL,WR,10.9,1,10.9
121,Mike Williams,LAC,WR,10.9,1,10.9
121,Baker Mayfield,CLE,QB,10.9,1,10.9
124,Zach Ertz,PHI,TE,10.8,1,10.8
125,Sterling Shepard,NYG,WR,10.7,1,10.7
125,Adam Humphries,TEN,WR,10.7,1,10.7
127,Myles Gaskin,MIA,RB,10.6,1,10.6
128,Emmanuel Sanders,NO,WR,10.5,1,10.5
128,Darren Waller,LV,TE,10.5,1,10.5
130,Devin Singletary,BUF,RB,10.3,1,10.3
131,Josh Adams,NYJ,RB,10.2,1,10.2
131,Ronald Jones II,TB,RB,10.2,1,10.2
133,A.J. Green,CIN,WR,10.1,1,10.1
134,James Robinson,JAC,RB,10,1,10
134,Dustin Hopkins,WAS,K,10,1,10
134,Robbie Gould,SF,K,10,1,10
134,Wil Lutz,NO,K,10,1,10
134,Randy Bullock,CIN,K,10,1,10
134,Harrison Butker,KC,K,10,1,10
140,Cole Beasley,BUF,WR,9.8,1,9.8
141,Austin Ekeler,LAC,RB,9.7,1,9.7
141,Sony Michel,NE,RB,9.7,1,9.7
141,Diontae Johnson,PIT,WR,9.7,1,9.7
144,Jerry Jeudy,DEN,WR,9.6,1,9.6
144,Henry Ruggs III,LV,WR,9.6,1,9.6
146,Marvin Jones Jr.,DET,WR,9.5,1,9.5
147,D.J. Moore,CAR,WR,9.4,1,9.4
148,T.Y. Hilton,IND,WR,9.3,1,9.3
148,George Kittle,SF,TE,9.3,1,9.3
148,Curtis Samuel,CAR,WR,9.3,1,9.3
148,Nelson Agholor,LV,WR,9.3,1,9.3
152,Jason Myers,SEA,K,9,1,9
152,Cairo Santos,CHI,K,9,1,9
152,Tyrod Taylor,LAC,QB,9,1,9
152,Chris Boswell,PIT,K,9,1,9
152,Justin Tucker,BAL,K,9,1,9
152,Younghoe Koo,ATL,K,9,1,9
152,Tyler Bass,BUF,K,9,1,9
159,A.J. Brown,TEN,WR,8.9,1,8.9
160,DeVante Parker,MIA,WR,8.7,1,8.7
161,Marlon Mack,IND,RB,8.6,1,8.6
161,Olabisi Johnson,MIN,WR,8.6,1,8.6
163,C.J. Uzomah,CIN,TE,8.5,1,8.5
164,David Montgomery,CHI,RB,8.4,1,8.4
164,Ryan Fitzpatrick,MIA,QB,8.4,1,8.4
166,Carlos Hyde,SEA,RB,8.3,1,8.3
167,Jamaal Williams,GB,RB,8.2,1,8.2
167,Devontae Booker,LV,RB,8.2,1,8.2
167,James White,NE,RB,8.2,1,8.2
170,Greg Ward,PHI,WR,8.1,1,8.1
171,Cooper Kupp,LAR,WR,8,1,8
171,Rodrigo Blankenship,IND,K,8,1,8
171,Michael Gallup,DAL,WR,8,1,8
171,Zane Gonzalez,ARI,K,8,1,8
171,Pittsburgh Steelers,PIT,DST,8,1,8
171,Buffalo Bills,BUF,DST,8,1,8
171,Sam Sloman,LAR,K,8,1,8
171,Steven Sims,WAS,WR,8,1,8
179,Jack Doyle,IND,TE,7.9,1,7.9
180,Keenan Allen,LAC,WR,7.7,1,7.7
180,Chris Herndon IV,NYJ,TE,7.7,1,7.7
182,Boston Scott,PHI,RB,7.4,1,7.4
182,Larry Fitzgerald,ARI,WR,7.4,1,7.4
184,Quintez Cephus,DET,WR,7.3,1,7.3
184,Tyler Boyd,CIN,WR,7.3,1,7.3
186,Mike Evans,TB,WR,7.2,1,7.2
187,Javon Wims,CHI,WR,7.1,1,7.1
187,MyCole Pruitt,TEN,TE,7.1,1,7.1
189,Kansas City Chiefs,KC,DST,7,1,7
189,Tyler Higbee,LAR,TE,7,1,7
189,New York Jets,NYJ,DST,7,1,7
189,David Moore,SEA,WR,7,1,7
193,Tim Patrick,DEN,WR,6.9,1,6.9
193,N'Keal Harry,NE,WR,6.9,1,6.9
195,Darnell Mooney,CHI,WR,6.8,1,6.8
195,Giovani Bernard,CIN,RB,6.8,1,6.8
195,Hayden Hurst,ATL,TE,6.8,1,6.8
198,Miles Boykin,BAL,WR,6.7,1,6.7
198,Jordan Howard,MIA,RB,6.7,1,6.7
198,Chase Claypool,PIT,WR,6.7,1,6.7
198,Tarik Cohen,CHI,RB,6.7,1,6.7
202,DeSean Jackson,PHI,WR,6.6,1,6.6
202,Le'Veon Bell,KC,RB,6.6,1,6.6
204,Jalen Reagor,PHI,WR,6.5,1,6.5
205,Antonio Gibson,WAS,RB,6.4,1,6.4
206,Joe Mixon,CIN,RB,6.1,1,6.1
206,Preston Williams,MIA,WR,6.1,1,6.1
208,Jacksonville Jaguars,JAC,DST,6,1,6
208,Mike Gesicki,MIA,TE,6,1,6
208,Seattle Seahawks,SEA,DST,6,1,6
211,Kyle Juszczyk,SF,RB,5.8,1,5.8
212,Nick Chubb,CLE,RB,5.6,1,5.6
213,Jakeem Grant,MIA,WR,5.5,1,5.5
214,Kendrick Bourne,SF,WR,5.4,1,5.4
214,Tyler Ervin,GB,RB,5.4,1,5.4
216,Cam Akers,LAR,RB,5.3,1,5.3
217,Taysom Hill,NO,QB,5.2,1,5.2
217,Tony Pollard,DAL,RB,5.2,1,5.2
217,Odell Beckham Jr.,CLE,WR,5.2,1,5.2
220,Jake Elliott,PHI,K,5,1,5
220,Green Bay Packers,GB,DST,5,1,5
220,Ryan Succop,TB,K,5,1,5
220,Darrel Williams,KC,RB,5,1,5
220,Demarcus Robinson,KC,WR,5,1,5
220,Sam Ficken,NYJ,K,5,1,5
220,Greg Zuerlein,DAL,K,5,1,5
227,Latavius Murray,NO,RB,4.8,1,4.8
227,Kyle Rudolph,MIN,TE,4.8,1,4.8
229,Michael Thomas,NO,WR,4.7,1,4.7
229,Breshad Perriman,NYJ,WR,4.7,1,4.7
229,Isaiah McKenzie,BUF,WR,4.7,1,4.7
232,Dawson Knox,BUF,TE,4.6,1,4.6
232,Justin Jefferson,MIN,WR,4.6,1,4.6
234,Phillip Lindsay,DEN,RB,4.5,1,4.5
235,Randall Cobb,HOU,WR,4.3,1,4.3
236,J.J. Taylor,NE,RB,4.2,1,4.2
237,Van Jefferson,LAR,WR,4.1,1,4.1
237,Cordarrelle Patterson,CHI,WR,4.1,1,4.1
237,Hunter Renfrow,LV,WR,4.1,1,4.1
237,Corey Clement,PHI,RB,4.1,1,4.1
237,Dan Arnold,ARI,TE,4.1,1,4.1
237,Dontrelle Inman,WAS,WR,4.1,1,4.1
243,New York Giants,NYG,DST,4,1,4
243,Stephen Gostkowski,TEN,K,4,1,4
243,San Francisco 49ers,SF,DST,4,1,4
243,Los Angeles Rams,LAR,DST,4,1,4
243,Jason Sanders,MIA,K,4,1,4
243,Mo Alie-Cox,IND,TE,4,1,4
243,Dan Bailey,MIN,K,4,1,4
243,Graham Gano,NYG,K,4,1,4
243,Brian Hill,ATL,RB,4,1,4
243,Arizona Cardinals,ARI,DST,4,1,4
243,Brandin Cooks,HOU,WR,4,1,4
243,Indianapolis Colts,IND,DST,4,1,4
243,Dallas Cowboys,DAL,DST,4,1,4
256,Darren Fells,HOU,TE,3.9,1,3.9
257,Zach Pascal,IND,WR,3.8,1,3.8
258,James Conner,PIT,RB,3.7,1,3.7
258,Mike Thomas,CIN,WR,3.7,1,3.7
258,John Ross,CIN,WR,3.7,1,3.7
258,C.J. Board,NYG,WR,3.7,1,3.7
258,Kaden Smith,NYG,TE,3.7,1,3.7
263,Ian Thomas,CAR,TE,3.6,1,3.6
263,Deonte Harris,NO,WR,3.6,1,3.6
263,Ito Smith,ATL,RB,3.6,1,3.6
263,Marvin Hall,DET,WR,3.6,1,3.6
263,Gabriel Davis,BUF,WR,3.6,1,3.6
268,Austin Hooper,CLE,TE,3.5,1,3.5
268,Ryan Izzo,NE,TE,3.5,1,3.5
270,Tevin Coleman,SF,RB,3.4,1,3.4
271,Isaiah Ford,MIA,WR,3.3,1,3.3
272,Rex Burkhead,NE,RB,3.2,1,3.2
272,Jordan Reed,SF,TE,3.2,1,3.2
274,Rob Gronkowski,TB,TE,3.1,1,3.1
275,Michael Pittman Jr.,IND,WR,3,1,3
275,Chicago Bears,CHI,DST,3,1,3
275,Nick Folk,NE,K,3,1,3
275,Cincinnati Bengals,CIN,DST,3,1,3
275,Tennessee Titans,TEN,DST,3,1,3
275,Philadelphia Eagles,PHI,DST,3,1,3
281,Patrick Laird,MIA,RB,2.9,1,2.9
281,Evan Engram,NYG,TE,2.9,1,2.9
281,Leonard Fournette,TB,RB,2.9,1,2.9
281,Mark Ingram II,BAL,RB,2.9,1,2.9
285,Will Dissly,SEA,TE,2.8,1,2.8
285,DaeSean Hamilton,DEN,WR,2.8,1,2.8
285,Eric Ebron,PIT,TE,2.8,1,2.8
288,Josh Reynolds,LAR,WR,2.7,1,2.7
288,Trent Taylor,SF,WR,2.7,1,2.7
288,Freddie Swain,SEA,WR,2.7,1,2.7
291,Chris Thompson,JAC,RB,2.6,1,2.6
291,Jalen Guyton,LAC,WR,2.6,1,2.6
293,Anthony Firkser,TEN,TE,2.5,1,2.5
293,Jalen Richard,LV,RB,2.5,1,2.5
295,Frank Gore,NYJ,RB,2.4,1,2.4
295,Collin Johnson,JAC,WR,2.4,1,2.4
295,Wayne Gallman,NYG,RB,2.4,1,2.4
298,Nick Boyle,BAL,TE,2.3,1,2.3
298,Levine Toilolo,NYG,TE,2.3,1,2.3
298,Travis Homer,SEA,RB,2.3,1,2.3
301,Royce Freeman,DEN,RB,2.2,1,2.2
301,KhaDarel Hodge,CLE,WR,2.2,1,2.2
301,Josiah Deguara,GB,TE,2.2,1,2.2
301,Devin Duvernay,BAL,WR,2.2,1,2.2
301,Blake Jarwin,DAL,TE,2.2,1,2.2
301,Matt Breida,MIA,RB,2.2,1,2.2
307,Dalton Schultz,DAL,TE,2.1,1,2.1
307,Irv Smith Jr.,MIN,TE,2.1,1,2.1
309,Denver Broncos,DEN,DST,2,1,2
309,Brandon McManus,DEN,K,2,1,2
309,Ka'imi Fairbairn,HOU,K,2,1,2
309,Miami Dolphins,MIA,DST,2,1,2
309,Virgil Green,LAC,TE,2,1,2
314,Jacob Hollister,SEA,TE,1.9,1,1.9
314,Bryan Edwards,LV,WR,1.9,1,1.9
314,Rashard Higgins,CLE,WR,1.9,1,1.9
317,Tyler Eifert,JAC,TE,1.8,1,1.8
317,DeAndre Carter,HOU,WR,1.8,1,1.8
319,Drew Sample,CIN,TE,1.7,1,1.7
319,Gerald Everett,LAR,TE,1.7,1,1.7
319,Tyrie Cleveland,DEN,WR,1.7,1,1.7
319,Gus Edwards,BAL,RB,1.7,1,1.7
323,Mecole Hardman,KC,WR,1.6,1,1.6
323,Chris Conley,JAC,WR,1.6,1,1.6
323,Justin Watson,TB,WR,1.6,1,1.6
326,Harrison Bryant,CLE,TE,1.5,1,1.5
326,Khari Blasingame,TEN,RB,1.5,1,1.5
326,Seth Roberts,CAR,WR,1.5,1,1.5
329,Tre'Quan Smith,NO,WR,1.4,1,1.4
329,Chris Manhertz,CAR,TE,1.4,1,1.4
329,Kerryon Johnson,DET,RB,1.4,1,1.4
329,AJ Dillon,GB,RB,1.4,1,1.4
329,Duke Johnson Jr.,HOU,RB,1.4,1,1.4
334,Jaylen Samuels,PIT,RB,1.3,1,1.3
334,Vance McDonald,PIT,TE,1.3,1,1.3
336,Bruce Miller,JAC,TE,1.2,1,1.2
336,LeSean McCoy,TB,RB,1.2,1,1.2
336,Jason Witten,LV,TE,1.2,1,1.2
339,James O'Shaughnessy,JAC,TE,1,1,1
339,Christian Kirk,ARI,WR,1,1,1
339,Jake Butt,DEN,TE,1,1,1
339,Chris Hogan,NYJ,WR,1,1,1
339,Detroit Lions,DET,DST,1,1,1
344,J.D. McKissic,WAS,RB,0.9,1,0.9
345,John Hightower,PHI,WR,0.8,1,0.8
346,Darrell Henderson,LAR,RB,0.6,1,0.6
347,D'Ernest Johnson,CLE,RB,0.5,1,0.5
348,Nick Vannett,DEN,TE,0.4,1,0.4
348,Justin Jackson,LAC,RB,0.4,1,0.4
350,Chris Streveler,ARI,QB,0.3,1,0.3
350,Robert Griffin III,BAL,QB,0.3,1,0.3
352,Anthony Sherman,KC,RB,0.2,1,0.2
353,Dion Lewis,NYG,RB,0.1,1,0.1
353,Alex Armah,CAR,RB,0.1,1,0.1
353,Jason Huntley,PHI,RB,0.1,1,0.1
356,Dan Chisena,MIN,WR,0,1,0
356,Trevon Wesco,NYJ,TE,0,1,0
356,K.J. Osborn,MIN,WR,0,1,0
356,Josh Hill,NO,TE,0,1,0
356,Scottie Phillips,HOU,RB,0,1,0
356,Rico Dowdle,DAL,RB,0,1,0
356,Reggie Gilliam,BUF,RB,0,1,0
356,Nathan Cottrell,JAC,RB,0,1,0
356,Clark Harris,CIN,TE,0,1,0
356,Marcedes Lewis,GB,TE,0,1,0
356,Luke Stocker,ATL,TE,0,1,0
356,Derek Carrier,LV,TE,0,1,0
356,Luke Willson,SEA,TE,0,1,0
356,Ryan Griffin,NYJ,TE,0,1,0
356,Demetrius Harris,CHI,TE,0,1,0
356,Richard Rodgers,PHI,TE,0,1,0
356,Cameron Brate,TB,TE,0,1,0
356,Kyle Nelson,FA,TE,0,1,0
356,Chandler Cox,MIA,RB,0,1,0
356,Maxx Williams,ARI,TE,0,1,0
356,Jesse James,DET,TE,0,1,0
356,Tyler Kroft,BUF,TE,0,1,0
356,Blake Bell,DAL,TE,0,1,0
356,Eric Tomlinson,NYG,TE,0,1,0
356,Daniel Brown,NYJ,TE,0,1,0
356,Stephen Anderson,LAC,TE,0,1,0
356,J.P. Holtz,CHI,TE,0,1,0
356,Adam Shaheen,MIA,TE,0,1,0
356,Jeremy Sprinkle,WAS,TE,0,1,0
356,Antony Auclair,TB,TE,0,1,0
356,Robert Tonyan,GB,TE,0,1,0
356,Cethan Carter,CIN,TE,0,1,0
356,Xavier Jones,LAR,RB,0,1,0
356,Jakob Johnson,NE,RB,0,1,0
356,Johnny Mundt,LAR,TE,0,1,0
356,Michael Burton,NO,RB,0,1,0
356,Cleveland Browns,CLE,DST,0,1,0
356,Houston Texans,HOU,DST,0,1,0
356,Las Vegas Raiders,LV,DST,0,1,0
356,Tampa Bay Buccaneers,TB,DST,0,1,0
356,Ty Long,LAC,K,0,1,0
356,Austin Seibert,CIN,K,0,1,0
356,Jacoby Brissett,IND,QB,0,1,0
356,John Lovett,GB,QB,0,1,0
356,Taiwan Jones,BUF,RB,0,1,0
356,Keith Smith,ATL,RB,0,1,0
356,Senorise Perry,TEN,RB,0,1,0
356,Ameer Abdullah,MIN,RB,0,1,0
356,Mike Davis,CAR,RB,0,1,0
356,D.J. Foster,ARI,RB,0,1,0
356,Darwin Thompson,KC,RB,0,1,0
356,Andy Janovich,CLE,RB,0,1,0
356,Derek Watt,PIT,RB,0,1,0
356,C.J. Ham,MIN,RB,0,1,0
356,Samaje Perine,CIN,RB,0,1,0
356,Jeremy McNichols,TEN,RB,0,1,0
356,Jordan Wilkins,IND,RB,0,1,0
356,Trenton Cannon,CAR,RB,0,1,0
356,Buddy Howell,HOU,RB,0,1,0
356,Ryan Nall,CHI,RB,0,1,0
356,Mike Boone,MIN,RB,0,1,0
356,Jeff Wilson Jr.,SF,RB,0,1,0
356,Ty Johnson,NYJ,RB,0,1,0
356,Alec Ingold,LV,RB,0,1,0
356,Isaiah Wright,WAS,WR,0,1,0
356,Darrell Daniels,ARI,TE,0,1,0
356,Marcus Baugh,FA,TE,0,1,0
356,Cam Sims,WAS,WR,0,1,0
356,Marcus Kemp,KC,WR,0,1,0
356,Brandon Zylstra,CAR,WR,0,1,0
356,Cedrick Wilson,DAL,WR,0,1,0
356,Dante Pettis,SF,WR,0,1,0
356,Braxton Berrios,NYJ,WR,0,1,0
356,Richie James Jr.,SF,WR,0,1,0
356,Auden Tate,CIN,WR,0,1,0
356,Ray-Ray McCloud,PIT,WR,0,1,0
356,Damion Ratley,FA,WR,0,1,0
356,Byron Pringle,KC,WR,0,1,0
356,Brandon Powell,ATL,WR,0,1,0
356,Christian Blake,ATL,WR,0,1,0
356,Trent Sherfield,ARI,WR,0,1,0
356,Malik Turner,DAL,WR,0,1,0
356,JoJo Natson,CLE,WR,0,1,0
356,JJ Arcega-Whiteside,PHI,WR,0,1,0
356,Andy Isabella,ARI,WR,0,1,0
356,Jakobi Meyers,NE,WR,0,1,0
356,Ashton Dulin,IND,WR,0,1,0
356,Quinton Bell,TB,WR,0,1,0
356,Penny Hart,SEA,WR,0,1,0
356,Malik Taylor,GB,WR,0,1,0
356,Olamide Zaccheaus,ATL,WR,0,1,0
356,Nsimba Webster,LAR,WR,0,1,0
356,Tee Higgins,CIN,WR,0,1,0
356,K.J. Hill,LAC,WR,0,1,0
356,James Proche,BAL,WR,0,1,0
356,Joe Reed,LAC,WR,0,1,0
356,Durham Smythe,MIA,TE,0,1,0
356,Justin Hardee,NO,WR,0,1,0
356,Josh Malone,NYJ,WR,0,1,0
356,Gabe Nabers,LAC,TE,0,1,0
356,Tyler Conklin,MIN,TE,0,1,0
356,Ross Dwelley,SF,TE,0,1,0
356,Nick Keizer,KC,TE,0,1,0
356,Jaeden Graham,ATL,TE,0,1,0
356,Foster Moreau,LV,TE,0,1,0
356,Jace Sternberger,GB,TE,0,1,0
356,Kahale Warring,HOU,TE,0,1,0
356,Stephen Carlson,CLE,TE,0,1,0
356,Cole Kmet,CHI,TE,0,1,0
356,Adam Trautman,NO,TE,0,1,0
356,Devin Asiasi,NE,TE,0,1,0
356,Charlie Woerner,SF,TE,0,1,0
356,Mack Hollins,MIA,WR,0,1,0
356,Ben Ellefson,JAC,TE,0,1,0
356,Matthew Slater,NE,WR,0,1,0
356,Ted Ginn Jr.,CHI,WR,0,1,0
356,Noah Brown,DAL,WR,0,1,0
356,Zay Jones,LV,WR,0,1,0
356,Jaydon Mickens,TB,WR,0,1,0
356,Kalif Raymond,TEN,WR,0,1,0
356,Alex Erickson,CIN,WR,0,1,0
356,Tajae Sharpe,MIN,WR,0,1,0
356,Pharoh Cooper,CAR,WR,0,1,0
356,Damiere Byrd,NE,WR,0,1,0
356,Diontae Spencer,DEN,WR,0,1,0
356,Bennie Fowler III,NO,WR,0,1,0
356,Kenny Stills,HOU,WR,0,1,0
356,Andre Roberts,BUF,WR,0,1,0
484,Tim Boyle,GB,QB,-0.2,1,-0.2
485,Ty Montgomery,NO,RB,-0.4,1,-0.4
486,Patrick Ricard,BAL,RB,-0.6,1,-0.6
487,Atlanta Falcons,ATL,DST,-1,1,-1
487,Carolina Panthers,CAR,DST,-1,1,-1
489,Minnesota Vikings,MIN,DST,-4,1,-4
