Rank,Player,Team,Position,Points,Games,Avg
1,Davante Adams,GB,WR,41.6,1,41.6
2,Josh Jacobs,LV,RB,35.9,1,35.9
3,Calvin Ridley,ATL,WR,33.9,1,33.9
4,Russell Wilson,SEA,QB,31.8,1,31.8
5,Adam Thielen,MIN,WR,31,1,31
6,Aaron Rodgers,GB,QB,30.8,1,30.8
7,DeAndre Hopkins,ARI,WR,29.1,1,29.1
8,Christian McCaffrey,CAR,RB,28.4,1,28.4
9,Darius Slayton,NYG,WR,28.2,1,28.2
9,Josh Allen,BUF,QB,28.2,1,28.2
11,Ezekiel Elliott,DAL,RB,27.7,1,27.7
12,Lamar Jackson,BAL,QB,27.5,1,27.5
13,Nyheim Hines,IND,RB,27.3,1,27.3
13,Kyler Murray,ARI,QB,27.3,1,27.3
15,Malcolm Brown,LAR,RB,26,1,26
16,Cam Newton,NE,QB,25.7,1,25.7
17,Robby Anderson,CAR,WR,25.5,1,25.5
18,Raheem Mostert,SF,RB,25.1,1,25.1
19,JuJu Smith-Schuster,PIT,WR,24.9,1,24.9
19,Matt Ryan,ATL,QB,24.9,1,24.9
21,Julio Jones,ATL,WR,24.7,1,24.7
22,Chris Carson,SEA,RB,24.6,1,24.6
23,Jamison Crowder,NYJ,WR,24.5,1,24.5
24,Mitchell Trubisky,CHI,QB,24.3,1,24.3
25,Dallas Goedert,PHI,TE,24.1,1,24.1
26,Alvin Kamara,NO,RB,23.7,1,23.7
27,Kirk Cousins,MIN,QB,22.8,1,22.8
27,Mark Andrews,BAL,TE,22.8,1,22.8
29,Tom Brady,TB,QB,22.5,1,22.5
30,Ben Roethlisberger,PIT,QB,22.1,1,22.1
31,Dalvin Cook,MIN,RB,21.8,1,21.8
31,Deshaun Watson,HOU,QB,21.8,1,21.8
33,Sammy Watkins,KC,WR,21.5,1,21.5
34,Gardner Minshew II,JAC,QB,20.8,1,20.8
35,Patrick Mahomes II,KC,QB,20.4,1,20.4
35,Russell Gage,ATL,WR,20.4,1,20.4
37,David Johnson,HOU,RB,19.9,1,19.9
38,Clyde Edwards-Helaire,KC,RB,19.8,1,19.8
39,Marquez Valdes-Scantling,GB,WR,19.6,1,19.6
40,D.K. Metcalf,SEA,WR,19.5,1,19.5
41,Ryan Tannehill,TEN,QB,19.4,1,19.4
41,Daniel Jones,NYG,QB,19.4,1,19.4
41,Teddy Bridgewater,CAR,QB,19.4,1,19.4
44,Jimmy Garoppolo,SF,QB,19.3,1,19.3
45,Will Fuller V,HOU,WR,19.2,1,19.2
46,Noah Fant,DEN,TE,19.1,1,19.1
47,John Brown,BUF,WR,19,1,19
48,Allen Lazard,GB,WR,18.2,1,18.2
49,Amari Cooper,DAL,WR,18.1,1,18.1
50,Robert Woods,LAR,WR,17.9,1,17.9
51,Aaron Jones,GB,RB,17.6,1,17.6
51,Dak Prescott,DAL,QB,17.6,1,17.6
51,Anthony Miller,CHI,WR,17.6,1,17.6
54,Joe Burrow,CIN,QB,17.3,1,17.3
55,Tyler Lockett,SEA,WR,17.2,1,17.2
55,Matthew Stafford,DET,QB,17.2,1,17.2
57,Corey Davis,TEN,WR,17.1,1,17.1
58,Travis Kelce,KC,TE,17,1,17
59,Philip Rivers,IND,QB,16.8,1,16.8
60,Stefon Diggs,BUF,WR,16.6,1,16.6
60,T.J. Hockenson,DET,TE,16.6,1,16.6
62,Willie Snead IV,BAL,WR,16.4,1,16.4
63,Derrick Henry,TEN,RB,16.1,1,16.1
64,Keelan Cole,JAC,WR,15.7,1,15.7
65,Melvin Gordon III,DEN,RB,15.6,1,15.6
65,Tyreek Hill,KC,WR,15.6,1,15.6
67,Marquise Brown,BAL,WR,15.1,1,15.1
68,Washington Football Team,WAS,DST,15,1,15
68,New Orleans Saints,NO,DST,15,1,15
68,Carson Wentz,PHI,QB,15,1,15
68,Baltimore Ravens,BAL,DST,15,1,15
